property_id	property_name	source	snapshot	as_of_date	year	month	status	level	metric	value
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Prospect	My Hotel	ADR	470.93
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Prospect	My Hotel	REV	668725
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Prospect	My Hotel	RN	491
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Prospect	My Hotel	ADR	687.93
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Prospect	My Hotel	REV	337774
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Prospect	My Hotel	RN	410
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Prospect	My Hotel	ADR	643.9
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Prospect	My Hotel	REV	264000
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Tentative	My Hotel	RN	219
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Tentative	My Hotel	ADR	800
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Tentative	My Hotel	REV	175200
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Tentative	My Hotel	RN	0
